verseForms,count
"66 long lines in groups ranging from a couplet to six mono-rhyming lines; written as short lines in which even-numbered lines rhyme, abcb to abcbdbebfbgb",1
"8-line",1
"aa",2
"aaa",1
"aaaa",4
"aaabb",1
"aaabcccbdddbeeeb",1
"aabb",1
"ababbcbc",2
"ababbcc",1
"alliterating",1
"alliteration",47
"alliterative",18
"alliterative unrhymed",1
"alliterative, unrhymed",1
"couplet",30
"couplets",65
"cross-rhymed quatrain",2
"eight-line",760
"eight-line stanza",1
"eight-line?",1
"eighteen-line",2
"eighteen-line stanza",2
"eleven-line",17
"eleven-line stanza",1
"envoys",1
"fifteen-line",3
"five-line",163
"five-line stanza",2
"five-line stanzas",2
"four line",1
"four-line",1267
"four-line, mono-rhyme",1
"four-line, monorhyme",21
"fourteen-line",73
"heroic stanza",1
"irregular",67
"irregular, mostly two-line",1
"mixed couplets and cross-rhymes quatrains",1
"mono-rhyme",1
"monorhyme",33
"Monorhymed quatrain",1
"Monorhymed quatrain with internal rhyme (or eight lines of alternating rhyme)",1
"Monorhymed quatrain with internal rhyme (or twelve lines of alternating rhyme)",1
"monorhyming",4
"nine lines",2
"nine-line",62
"nine-line stanza",1
"nineteen-line",1
"occasional verse",1
"one-line",12
"prologues",1
"quatrain",2
"quatrain, monorhyme",2
"Quatrain, monorhyming",1
"rhyme royal",17
"rhyming",1
"rhyming couplet",1
"rhyming couplets",3
"rhyming half-lines",1
"romances",1
"roundel",20
"saints’ lives",2
"seven line",1
"seven lines",1
"seven-lin",1
"seven-line",797
"seven-line stanza",1
"seven-line?",1
"seven=line",1
"six-line",373
"six-lines",2
"sixteen-line",11
"sixteen-line stanza",2
"skeltonic",5
"Skeltonics",1
"skeltonics",2
"tail rhyme",4
"tail-rhyme",1
"tail-rhyme couplet",1
"ten-line",56
"ten-line stanza",1
"thirteen",1
"thirteen-line",24
"thirteen-line stanza",1
"Thirty long lines in groups ranging from a couplet to six mono-rhyming lines; written as short lines in which even-numbered lines rhyme, abcb to abcbdbebfbgb",1
"three-line",178
"three-line stanza",1
"three-line stanzas",1
"twelve-line",111
"twelve-line stanza",4
"twelve-line stanzas",1
"twelve-line, tail-rhymed",1
"twelve-line?",4
"twenty-four-line stanza",1
"twenty-one line",4
"twenty-one-line",2
"two-line",2716
"two-line>",2
"two-line?",1
"two-lines",1
"unrhymed",1
"variable",1
"various",2
